feature	g__Methanobrevibacter	g__Actinomyces	g__Trueperella	g__Bifidobacterium	g__Rothia	g__Isoptericola	g__Lancefieldella	g__Olsenella	g__Collinsella	g__Senegalimassilia	g__Adlercreutzia	g__Eggerthella	g__Slackia	g__Bacteroides	g__Phocaeicola	g__Barnesiella	g__Coprobacter	g__Butyricimonas	g__Odoribacter	g__Porphyromonas	g__Paraprevotella	g__Prevotella	g__Alistipes	g__Parabacteroides	g__Gemella	g__Staphylococcus	g__Granulicatella	g__Enterococcus	g__Lacticaseibacillus	g__Lactobacillus	g__Ligilactobacillus	g__Limosilactobacillus	g__Lactococcus	g__Streptococcus	g__Candidatus_Avimicrobium	g__Butyricicoccus	g__Clostridium	g__Hungatella	g__Mogibacterium	g__Evtepia	g__Intestinimonas	g__Eubacterium	g__Anaerobutyricum	g__Anaerostipes	g__Anaerotignum	g__Blautia	g__Coprococcus	g__Dorea	g__Eisenbergiella	g__Enterocloster	g__Faecalicatena	g__Fusicatenibacter	g__Lachnoclostridium	g__Lachnospira	g__Lacrimispora	g__Mediterraneibacter	g__Oribacterium	g__Roseburia	g__Sellimonas	g__Tyzzerella	g__Dysosmobacter	g__Oscillibacter	g__Intestinibacter	g__Peptostreptococcus	g__Romboutsia	g__Agathobaculum	g__Anaerotruncus	g__Candidatus_Cibiobacter	g__Faecalibacterium	g__Flavonifractor	g__Gemmiger	g__Massilimaliae	g__Ruminococcus	g__Ruthenibacterium	g__Catenibacterium	g__Coprobacillus	g__Dielma	g__Erysipelatoclostridium	g__Faecalibacillus	g__Holdemania	g__Solobacterium	g__Turicibacter	g__Acidaminococcus	g__Phascolarctobacterium	g__Megamonas	g__Selenomonas	g__Allisonella	g__Anaeroglobus	g__Colibacter	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	g__Leptotrichia	g__Parasutterella	g__Sutterella	g__Neisseria	g__Bilophila	g__Desulfovibrio	g__Campylobacter	g__Escherichia	g__Klebsiella	g__Aggregatibacter	g__Haemophilus	g__Akkermansia	g__Unknown
BB.041	9830	0	0	0	0	0	0	0	0	0	0	0	0	4166141	12457	0	0	0	5738	0	0	0	43829	1076288	0	0	0	0	0	0	0	0	0	85580	1414	0	49167	51050	0	16797	71391	0	43633	52891	82053	705055	0	48938	128068	336541	2378	0	32136	0	24298	52608	0	546262	0	36301	25593	0	0	0	0	0	1151	56389	382885	4706	0	0	13951	23511	0	0	0	1562	0	0	0	0	0	117252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1709566
BB.040	0	0	0	0	0	0	0	0	0	0	0	0	0	3077566	812948	0	0	0	0	1482	0	5005	0	8682	0	0	0	27449	270090	3043	0	0	0	67546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104833	0	0	0	0	0	0	0	0	0	0	0	0	0	193700	13539	0	0	0	0	0	0	0	161584	2841370	0	0	0	0
BB.036	0	0	0	6045	0	0	0	0	4411	604	0	414	3145	704970	197703	32496	10408	19949	33874	0	46219	0	149423	48603	0	0	0	0	0	0	0	0	1221	58238	0	1230	134989	0	0	2077	11956	0	44646	48131	1858	93944	12053	15625	0	0	39423	26043	4182	56615	1456	22696	0	81795	0	0	0	0	0	0	0	734	0	0	223227	13174	12321	0	17864	0	0	0	0	2948	17251	0	0	0	0	7938	0	0	0	0	0	0	0	36480	162	0	108	3035	0	7771	0	0	0	0	1145	63333	0	104996
BB.035	0	0	0	0	0	0	3226	0	5277	0	0	0	0	3151176	3438004	0	0	0	0	0	0	0	0	149191	0	2465	0	0	0	0	0	0	0	1059	0	24948	2497	0	0	0	0	0	0	20999	9820	18207	0	0	0	24175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17024	3138	928	0	63337	0	0	0	0	0	0	0	0	0	0	117086	0	0	0	0	0	0	5261	0	1979	0	0	0	0	0	4348	0	0	0	0	0	14663
BB.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457652	0	158189	479419	0	0	340951	65125	337	0	0	147871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	926944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BB.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1961690	0	0	0	7161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8403768	0	0	0	0	0
BB.031	7008	0	0	24059	0	0	0	24	50719	29221	0	0	19889	459939	17361	1731	0	6699	8122	0	16764	35312	73121	156022	0	0	0	0	0	0	0	0	0	6955	860	0	98345	0	0	26621	0	1187158	32188	13492	195	183149	276301	149135	0	0	18912	28003	547	865	0	249550	0	382377	0	0	5707	39697	5155	0	1331	9626	5446	33234	170368	0	125187	195	143981	12087	73747	0	0	719	15927	287	1802	582	0	52107	0	0	2242	0	0	0	11477	0	0	0	0	0	0	0	17463	0	6815	0	0	0	0	714735
BB.030	0	0	0	49618	1599	0	0	0	3508	0	0	0	0	337567	381082	0	0	0	0	0	0	1818212	0	6572	0	0	0	0	0	0	0	0	5562	119704	0	0	54624	0	0	0	0	0	58696	82776	0	6247	2938	10733	0	0	0	8306	0	0	24722	70800	0	0	0	0	0	0	0	0	0	6063	0	0	38494	0	0	0	0	0	0	0	0	43129	104937	0	0	0	0	0	0	0	0	0	0	0	0	83716	0	0	0	7465	0	0	0	1796	60846	0	0	73902	0	20285
BB.028	884	0	0	0	1683	0	0	0	20506	0	11808	9253	0	2858041	3888901	207098	358865	809519	138915	1022	37562	1507	812362	495042	0	0	0	0	0	0	0	0	0	24784	0	0	574592	46287	0	23185	5248	22679	123236	12819	94931	731190	92367	100029	27175	534832	7137	6769	76783	27823	96955	447919	0	513186	0	0	12295	63337	0	0	0	10781	39074	53727	356787	8351	115240	0	91763	3105	0	753	0	10987	5937	2203	0	0	0	232685	0	0	6869	0	0	0	0	2252	378	0	0	331944	3124	63094	95873	2037	1068255	0	6689	5284	1641459	1627227
BB.027	0	0	0	0	0	0	0	0	0	0	0	0	0	13988	320078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14989	0	0	0	24608	0	0	0	0	0	0	0	0	0	0	3902	0	0	0	0	0	0	0	4136597	0	6937	54012	0	8569
