metadata;PR (n = 31);PNR (n = 22);pvalue.unadjusted;pvalue
s__Megasphaera_sp_MJR8396C;9.677419;0.000000;0.368611288843205;1
s__Veillonella_tobetsuensis;9.677419;0.000000;0.368611288843205;1
s__Prevotella_histicola; 6.451613;18.181818;0.374472548271778;1
s__Prevotella_marseillensis; 6.451613;18.181818;0.374472548271778;1
s__GGB9614_SGB15049; 6.451613;18.181818;0.374472548271778;1
s__Ruminococcus_sp_NSJ_71; 6.451613;18.181818;0.374472548271778;1
s__Akkermansia_muciniphila; 6.451613;18.181818;0.374472548271778;1
s__Olsenella_sp_oral_taxon_807; 3.225806;13.636364;0.37556915499545;1
s__Parabacteroides_johnsonii; 3.225806;13.636364;0.37556915499545;1
s__Candidatus_Nanoperiomorbus_periodonticus; 3.225806;13.636364;0.37556915499545;1
s__Gemella_sanguinis; 3.225806;13.636364;0.37556915499545;1
s__GGB9237_SGB14179; 3.225806;13.636364;0.37556915499545;1
s__Clostridiales_bacterium_1_7_47FAA; 3.225806;13.636364;0.37556915499545;1
s__Holdemania_filiformis; 3.225806;13.636364;0.37556915499545;1
s__Parvimonas_micra; 3.225806;13.636364;0.37556915499545;1
s__Sutterella_sp_AM11_39; 3.225806;13.636364;0.37556915499545;1
s__Bifidobacterium_catenulatum;16.129032; 4.545455;0.383466852795982;1
s__GGB1495_SGB2071;16.129032; 4.545455;0.383466852795982;1
s__Ruminococcus_bromii;16.129032; 4.545455;0.383466852795982;1
s__Barnesiella_intestinihominis;41.93548;27.27273;0.42015532732621;1
s__Phocaeicola_massiliensis;19.35484;31.81818;0.474513513465282;1
s__Ruminococcus_lactaris;19.35484;31.81818;0.474513513465282;1
s__Veillonella_atypica;54.83871;68.18182;0.487921330918569;1
s__Erysipelatoclostridium_ramosum;64.51613;77.27273;0.488202361468852;1
s__Faecalibacillus_intestinalis;35.48387;22.72727;0.488202361468852;1
s__Streptococcus_mitis;32.25806;45.45455;0.490795030157351;1
s__Bifidobacterium_pseudocatenulatum;16.12903;27.27273;0.520878048742122;1
s__Bacteroides_faecis;16.12903;27.27273;0.520878048742122;1
s__Fusobacterium_pseudoperiodonticum;16.12903;27.27273;0.520878048742122;1
s__Senegalimassilia_anaerobia;19.354839; 9.090909;0.522743581635432;1
s__Blautia_SGB4831;19.354839; 9.090909;0.522743581635432;1
s__Lachnospira_pectinoschiza;19.354839; 9.090909;0.522743581635432;1
s__GGB9615_SGB15053;19.354839; 9.090909;0.522743581635432;1
s__Bacteroides_fragilis;41.93548;54.54545;0.530710192495207;1
s__Clostridiaceae_bacterium;41.93548;54.54545;0.530710192495207;1
s__Dorea_longicatena;58.06452;45.45455;0.530710192495207;1
s__Fusicatenibacter_saccharivorans;41.93548;54.54545;0.530710192495207;1
s__Bacteroides_stercoris;29.03226;40.90909;0.544978476721151;1
s__Streptococcus_sp_263_SSPC;29.03226;40.90909;0.544978476721151;1
s__Streptococcus_thermophilus;51.61290;63.63636;0.55586228306828;1
s__Anaerobutyricum_hallii;51.61290;63.63636;0.55586228306828;1
s__Clostridium_sp_AM33_3;29.03226;18.18182;0.561455407046196;1
s__Lachnospiraceae_bacterium_WCA3_601_WT_6H;29.03226;18.18182;0.561455407046196;1
s__Bacteroides_nordii;12.90323;22.72727;0.570474533043322;1
s__Butyricimonas_paravirosa;12.90323;22.72727;0.570474533043322;1
s__Butyricimonas_virosa;12.903226; 4.545455;0.583120278637364;1
s__Prevotella_buccae;12.903226; 4.545455;0.583120278637364;1
s__Prevotella_oris;12.903226; 4.545455;0.583120278637364;1
s__Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1;12.903226; 4.545455;0.583120278637364;1
s__Enterococcus_avium;12.903226; 4.545455;0.583120278637364;1
s__Hydrogeniiclostidium_mannosilyticum;12.903226; 4.545455;0.583120278637364;1
s__Erysipelotrichaceae_bacterium_3_1_53;12.903226; 4.545455;0.583120278637364;1
s__Faecalicoccus_pleomorphus;12.903226; 4.545455;0.583120278637364;1
s__GGB6606_SGB9340;12.903226; 4.545455;0.583120278637364;1
s__Clostridium_symbiosum;38.70968;50.00000;0.592003081781065;1
s__Agathobaculum_butyriciproducens;38.70968;50.00000;0.592003081781065;1
s__Lachnospiraceae_bacterium;74.19355;63.63636;0.60215063946856;1
s__Haemophilus_parainfluenzae;48.38710;59.09091;0.624170942339821;1
s__Trueperella_pyogenes; 9.677419;18.181818;0.62458693107246;1
s__Alistipes_indistinctus; 9.677419;18.181818;0.62458693107246;1
s__Lactobacillus_delbrueckii; 9.677419;18.181818;0.62458693107246;1
s__Streptococcus_cristatus; 9.677419;18.181818;0.62458693107246;1
s__GGB4482_SGB6177; 9.677419;18.181818;0.62458693107246;1
s__Blautia_glucerasea; 9.677419;18.181818;0.62458693107246;1
s__Oscillibacter_sp_ER4; 9.677419;18.181818;0.62458693107246;1
s__Actinobaculum_sp_oral_taxon_183;6.451613;0.000000;0.62906684958893;1
s__Actinomyces_SGB17168;6.451613;0.000000;0.62906684958893;1
s__Olsenella_sp_GAM18;6.451613;0.000000;0.62906684958893;1
s__Cryptobacterium_curtum;6.451613;0.000000;0.62906684958893;1
s__Gordonibacter_urolithinfaciens;6.451613;0.000000;0.62906684958893;1
s__Butyricimonas_SGB1783;6.451613;0.000000;0.62906684958893;1
s__Prevotella_copri_clade_B;6.451613;0.000000;0.62906684958893;1
s__GGB1843_SGB2524;6.451613;0.000000;0.62906684958893;1
s__Bacilli_bacterium;6.451613;0.000000;0.62906684958893;1
s__GGB2980_SGB3962;6.451613;0.000000;0.62906684958893;1
s__GGB9347_SGB14313;6.451613;0.000000;0.62906684958893;1
s__Clostridium_neonatale;6.451613;0.000000;0.62906684958893;1
s__GGB9580_SGB14998;6.451613;0.000000;0.62906684958893;1
s__Emergencia_timonensis;6.451613;0.000000;0.62906684958893;1
s__Clostridiales_bacterium_Choco116;6.451613;0.000000;0.62906684958893;1
s__Intestinimonas_timonensis;6.451613;0.000000;0.62906684958893;1
s__Massilistercora_timonensis;6.451613;0.000000;0.62906684958893;1
s__Eubacterium_sp_AF22_8LB;6.451613;0.000000;0.62906684958893;1
s__Blautia_hydrogenotrophica;6.451613;0.000000;0.62906684958893;1
s__GGB3463_SGB4621;6.451613;0.000000;0.62906684958893;1
s__GGB3523_SGB4703;6.451613;0.000000;0.62906684958893;1
s__Clostridium_hylemonae;6.451613;0.000000;0.62906684958893;1
s__Lachnospiraceae_bacterium_NSJ_29;6.451613;0.000000;0.62906684958893;1
s__Roseburia_SGB4958;6.451613;0.000000;0.62906684958893;1
s__Oscillibacter_SGB15077;6.451613;0.000000;0.62906684958893;1
s__Oscillospiraceae_bacterium_NSJ_64;6.451613;0.000000;0.62906684958893;1
s__GGB4456_SGB6141;6.451613;0.000000;0.62906684958893;1
s__Agathobaculum_sp_Marseille_P7918;6.451613;0.000000;0.62906684958893;1
s__GGB9512_SGB14909;6.451613;0.000000;0.62906684958893;1
s__GGB9642_SGB15119;6.451613;0.000000;0.62906684958893;1
s__GGB9739_SGB15313;6.451613;0.000000;0.62906684958893;1
s__Pseudoflavonifractor_SGB15156;6.451613;0.000000;0.62906684958893;1
s__Clostridium_leptum;6.451613;0.000000;0.62906684958893;1
s__Longicatena_caecimuris;6.451613;0.000000;0.62906684958893;1
s__Acidaminococcus_massiliensis;6.451613;0.000000;0.62906684958893;1
s__Selenomonas_flueggei;6.451613;0.000000;0.62906684958893;1
s__Megasphaera_hexanoica;6.451613;0.000000;0.62906684958893;1
s__Megasphaera_massiliensis;6.451613;0.000000;0.62906684958893;1
s__Megasphaera_stantonii;6.451613;0.000000;0.62906684958893;1
s__Peptoniphilus_lacrimalis;6.451613;0.000000;0.62906684958893;1
s__Fusobacterium_gonidiaformans;6.451613;0.000000;0.62906684958893;1
s__Leptotrichia_sp_oral_taxon_215;6.451613;0.000000;0.62906684958893;1
s__Lautropia_mirabilis;6.451613;0.000000;0.62906684958893;1
s__Sutterella_seckii;6.451613;0.000000;0.62906684958893;1
s__Citrobacter_freundii;6.451613;0.000000;0.62906684958893;1
s__Klebsiella_aerogenes;6.451613;0.000000;0.62906684958893;1
s__Pseudomonas_aeruginosa;6.451613;0.000000;0.62906684958893;1
s__Lactococcus_lactis;22.58065;13.63636;0.642791142478076;1
s__Anaerostipes_caccae;22.58065;13.63636;0.642791142478076;1
s__Sutterella_wadsworthensis;58.06452;68.18182;0.644675377339266;1
s__Enterococcus_faecalis;32.25806;22.72727;0.653041631239527;1
s__Bifidobacterium_longum;64.51613;54.54545;0.655393677825604;1
s__Alistipes_shahii;35.48387;45.45455;0.655393677825604;1
s__Parabacteroides_merdae;35.48387;45.45455;0.655393677825604;1
s__Bacteroides_cellulosilyticus;22.58065;31.81818;0.663232916836573;1
s__Candidatus_Cibiobacter_qucibialis;22.58065;31.81818;0.663232916836573;1
s__Actinomyces_graevenitzii; 6.451613;13.636364;0.685568241857399;1
s__Kytococcus_sedentarius; 6.451613;13.636364;0.685568241857399;1
s__Lancefieldella_rimae; 6.451613;13.636364;0.685568241857399;1
s__Phocaeicola_coprophilus; 6.451613;13.636364;0.685568241857399;1
s__Phocaeicola_plebeius; 6.451613;13.636364;0.685568241857399;1
s__Prevotella_melaninogenica; 6.451613;13.636364;0.685568241857399;1
s__Lactobacillus_crispatus; 6.451613;13.636364;0.685568241857399;1
s__GGB2982_SGB3964; 6.451613;13.636364;0.685568241857399;1
s__Clostridium_perfringens; 6.451613;13.636364;0.685568241857399;1
s__Clostridium_sp_SN20; 6.451613;13.636364;0.685568241857399;1
s__Dysosmobacter_sp_NSJ_60; 6.451613;13.636364;0.685568241857399;1
s__GGB9619_SGB15067; 6.451613;13.636364;0.685568241857399;1
s__Clostridium_spiroforme; 6.451613;13.636364;0.685568241857399;1
s__Neisseria_subflava; 6.451613;13.636364;0.685568241857399;1
s__Campylobacter_SGB19337; 6.451613;13.636364;0.685568241857399;1
s__Bacteroides_caccae;45.16129;54.54545;0.693170720569415;1
s__Evtepia_gabavorous;19.35484;27.27273;0.729630093497882;1
s__Eisenbergiella_tayi;19.35484;27.27273;0.729630093497882;1
s__Anaeroglobus_geminatus;19.35484;27.27273;0.729630093497882;1
s__Eubacterium_ventriosum;16.129032; 9.090909;0.738373868592483;1
s__Blautia_sp_OF03_15BH;16.129032; 9.090909;0.738373868592483;1
s__Dielma_fastidiosa;16.129032; 9.090909;0.738373868592483;1
s__Unknown;64.51613;72.72727;0.739569302715417;1
s__Bifidobacterium_adolescentis;25.80645;18.18182;0.748603121923813;1
s__Paraprevotella_clara;25.80645;18.18182;0.748603121923813;1
s__Clostridium_sp_AT4;25.80645;18.18182;0.748603121923813;1
s__Actinomyces_oris;3.225806;9.090909;0.758630477025992;1
s__Alloscardovia_omnicolens;3.225806;9.090909;0.758630477025992;1
s__Bacteroidales_bacterium;3.225806;9.090909;0.758630477025992;1
s__Prevotella_multiformis;3.225806;9.090909;0.758630477025992;1
s__Rikenellaceae_bacterium;3.225806;9.090909;0.758630477025992;1
s__Parabacteroides_goldsteinii;3.225806;9.090909;0.758630477025992;1
s__Staphylococcus_aureus;3.225806;9.090909;0.758630477025992;1
s__Staphylococcus_epidermidis;3.225806;9.090909;0.758630477025992;1
s__GGB3256_SGB4303;3.225806;9.090909;0.758630477025992;1
s__GGB3293_SGB4348;3.225806;9.090909;0.758630477025992;1
s__GGB9758_SGB15368;3.225806;9.090909;0.758630477025992;1
s__Clostridium_sp_C5_48;3.225806;9.090909;0.758630477025992;1
s__Coprococcus_eutactus;3.225806;9.090909;0.758630477025992;1
s__Lachnoanaerobaculum_orale;3.225806;9.090909;0.758630477025992;1
s__Lachnospira_SGB5076;3.225806;9.090909;0.758630477025992;1
s__Oribacterium_sp_oral_taxon_078;3.225806;9.090909;0.758630477025992;1
s__Shuttleworthia_satelles;3.225806;9.090909;0.758630477025992;1
s__GGB9621_SGB15073;3.225806;9.090909;0.758630477025992;1
s__GGB9633_SGB15090;3.225806;9.090909;0.758630477025992;1
s__GGB9667_SGB15164;3.225806;9.090909;0.758630477025992;1
s__GGB9705_SGB15225;3.225806;9.090909;0.758630477025992;1
s__Selenomonas_noxia;3.225806;9.090909;0.758630477025992;1
s__Fusobacterium_mortiferum;3.225806;9.090909;0.758630477025992;1
s__GGB6613_SGB9347;3.225806;9.090909;0.758630477025992;1
s__Eikenella_corrodens;3.225806;9.090909;0.758630477025992;1
s__Neisseria_sicca;3.225806;9.090909;0.758630477025992;1
s__Succinatimonas_hippei;3.225806;9.090909;0.758630477025992;1
s__Odoribacter_splanchnicus;41.93548;50.00000;0.763298465362915;1
s__Alistipes_putredinis;41.93548;50.00000;0.763298465362915;1
s__Clostridium_sp_AM22_11AC;41.93548;50.00000;0.763298465362915;1
s__Bacteroides_ovatus;70.96774;63.63636;0.791154180672833;1
s__Dialister_invisus;29.03226;36.36364;0.791154180672833;1
s__Collinsella_aerofaciens;51.61290;59.09091;0.795723822881907;1
s__Bifidobacterium_breve;16.12903;22.72727;0.803589542809402;1
s__Adlercreutzia_equolifaciens;16.12903;22.72727;0.803589542809402;1
s__Streptococcus_constellatus;16.12903;22.72727;0.803589542809402;1
s__Streptococcus_infantis;16.12903;22.72727;0.803589542809402;1
s__Clostridium_sp_AF20_17LB;16.12903;22.72727;0.803589542809402;1
s__GGB9699_SGB15216;16.12903;22.72727;0.803589542809402;1
s__Ruthenibacterium_lactatiformans;38.70968;31.81818;0.822099810925361;1
s__Bifidobacterium_dentium;38.70968;45.45455;0.83510744820857;1
s__Eggerthella_lenta;38.70968;45.45455;0.83510744820857;1
s__Dorea_sp_AF36_15AT;29.03226;22.72727;0.843945648936089;1
s__Slackia_isoflavoniconvertens;19.35484;13.63636;0.86099408172496;1
s__GGB1266_SGB1699;19.35484;13.63636;0.86099408172496;1
s__Blautia_producta;19.35484;13.63636;0.86099408172496;1
s__Faecalibacterium_SGB15346;19.35484;13.63636;0.86099408172496;1
s__Allisonella_histaminiformans;19.35484;13.63636;0.86099408172496;1
s__Parasutterella_excrementihominis;19.35484;13.63636;0.86099408172496;1
s__Actinomyces_johnsonii;0.000000;4.545455;0.861894634662836;1
s__Actinomyces_naeslundii;0.000000;4.545455;0.861894634662836;1
s__Actinomyces_timonensis;0.000000;4.545455;0.861894634662836;1
s__Schaalia_cardiffensis;0.000000;4.545455;0.861894634662836;1
s__Schaalia_odontolytica;0.000000;4.545455;0.861894634662836;1
s__Scardovia_wiggsiae;0.000000;4.545455;0.861894634662836;1
s__Atopobium_minutum;0.000000;4.545455;0.861894634662836;1
s__Collinsella_massiliensis;0.000000;4.545455;0.861894634662836;1
s__GGB45432_SGB63101;0.000000;4.545455;0.861894634662836;1
s__Bacteroides_sp_OF04_15BH;0.000000;4.545455;0.861894634662836;1
s__Bacteroides_timonensis;0.000000;4.545455;0.861894634662836;1
s__GGB1154_SGB1482;0.000000;4.545455;0.861894634662836;1
s__GGB1355_SGB1819;0.000000;4.545455;0.861894634662836;1
s__GGB1387_SGB1895;0.000000;4.545455;0.861894634662836;1
s__Phocaeicola_barnesiae;0.000000;4.545455;0.861894634662836;1
s__GGB1215_SGB1581;0.000000;4.545455;0.861894634662836;1
s__GGB1221_SGB1590;0.000000;4.545455;0.861894634662836;1
s__GGB1680_SGB2312;0.000000;4.545455;0.861894634662836;1
s__GGB1691_SGB2323;0.000000;4.545455;0.861894634662836;1
s__Parabacteroides_faecis;0.000000;4.545455;0.861894634662836;1
s__Candidatus_Gracilibacteria_bacterium_GN02_873;0.000000;4.545455;0.861894634662836;1
s__GGB5980_SGB8599;0.000000;4.545455;0.861894634662836;1
s__GGB5997_SGB8620;0.000000;4.545455;0.861894634662836;1
s__Granulicatella_elegans;0.000000;4.545455;0.861894634662836;1
s__Enterococcus_casseliflavus;0.000000;4.545455;0.861894634662836;1
s__Lacticaseibacillus_casei;0.000000;4.545455;0.861894634662836;1
s__Lactobacillus_acidophilus;0.000000;4.545455;0.861894634662836;1
s__Lactobacillus_ultunensis;0.000000;4.545455;0.861894634662836;1
s__Lentilactobacillus_raoultii;0.000000;4.545455;0.861894634662836;1
s__Lactobacillus_timonensis;0.000000;4.545455;0.861894634662836;1
s__Leuconostoc_lactis;0.000000;4.545455;0.861894634662836;1
s__Streptococcus_agalactiae;0.000000;4.545455;0.861894634662836;1
s__Streptococcus_sobrinus;0.000000;4.545455;0.861894634662836;1
s__GGB9524_SGB14923;0.000000;4.545455;0.861894634662836;1
s__GGB9559_SGB14969;0.000000;4.545455;0.861894634662836;1
s__Candidatus_Borkfalkia_ceftriaxoniphila;0.000000;4.545455;0.861894634662836;1
s__Candidatus_Pseudoscilispira_faecavium;0.000000;4.545455;0.861894634662836;1
s__GGB9059_SGB13976;0.000000;4.545455;0.861894634662836;1
s__GGB9239_SGB14181;0.000000;4.545455;0.861894634662836;1
s__Christensenella_minuta;0.000000;4.545455;0.861894634662836;1
s__Butyricicoccus_SGB14990;0.000000;4.545455;0.861894634662836;1
s__Clostridium_sp_AF15_49;0.000000;4.545455;0.861894634662836;1
s__Clostridium_sp_AF34_13;0.000000;4.545455;0.861894634662836;1
s__Clostridium_sp_AM42_4;0.000000;4.545455;0.861894634662836;1
s__Clostridium_sp_CL_2;0.000000;4.545455;0.861894634662836;1
s__Clostridium_tertium;0.000000;4.545455;0.861894634662836;1
s__GGB3486_SGB4658;0.000000;4.545455;0.861894634662836;1
s__Eubacterium_nodatum;0.000000;4.545455;0.861894634662836;1
s__Intestinimonas_gabonensis;0.000000;4.545455;0.861894634662836;1
s__Anaerofustis_stercorihominis;0.000000;4.545455;0.861894634662836;1
s__Eubacteriaceae_bacterium_CHKCI004;0.000000;4.545455;0.861894634662836;1
s__Eubacterium_sp_AF15_50;0.000000;4.545455;0.861894634662836;1
s__Eubacterium_sp_AF34_35BH;0.000000;4.545455;0.861894634662836;1
s__Anaerosacchariphilus_sp_NSJ_68;0.000000;4.545455;0.861894634662836;1
s__Blautia_faecicola;0.000000;4.545455;0.861894634662836;1
s__GGB3433_SGB4573;0.000000;4.545455;0.861894634662836;1
s__GGB3570_SGB4777;0.000000;4.545455;0.861894634662836;1
s__GGB3614_SGB4886;0.000000;4.545455;0.861894634662836;1
s__GGB3887_SGB5270;0.000000;4.545455;0.861894634662836;1
